,importance
cust_items,0.128398531385081
pair_spend,0.07874596415973051
pair_purchases,0.06631957038893727
pair_qty,0.06559907521762862
cust_qty,0.06060609261090543
item_buyers,0.05894348972020964
cust_spend,0.057457619623281164
has_prior_purchase,0.0573959270525489
cust_avg_spend_per_txn,0.04654141327789721
cust_recency_days,0.046490248422392404
item_txns,0.046131441700804014
cust_avg_basket,0.04410060634901704
item_repeat_rate,0.042861849341668486
item_qty,0.03946069367116753
item_avg_price,0.03751883011198911
cust_freq_per_day,0.035002612690067936
item_recency_days,0.033541272496666094
cust_active_days,0.030314720710326294
cust_txns,0.02457004106968134
